metric,value,n,unit,retrievedAt,method
queries,30,248,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
perQuery,10,248,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
n,248,248,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
nFetched,223,248,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
nBlocked,23,248,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
nUnknown,2,248,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
distinctDomains,136,248,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
yearInTitlePct,13,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
currentYearInTitlePct,12,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pricesShownPct,36,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
